Thai,English
ผาอินทร์ - ท่าก้อน,Pha -in -Tha Kon
คลองบางดินสอ - นาเหนือ,Khlong Bang Por -Na Nuea
แยกทางหลวงหมายเลข 4060 (กม.ที่ 57+493) - บ้านน้ำวน,Highway 4060 (km 57+493) - Ban Nam Won
แยกทางหลวงหมายเลข 212 (กม.ที่ 90+000) - บ้านโนนสะแบง,Highway 212 (km 90+000) - Ban Non Sabong
ทัพทัน - คลองแบ่ง,Army - Khlong Khlong
ปากน้ำกระบี่ - เขาทอง,Pak Nam Krabi - Khao Thong
ตะโล๊ะหะลอ - ศรีสาคร,Talohalo -Sri Sakhon
เมืองเก่า - สุโขทัย,Old town - Sukhothai
นาจวก - ดอนยาง,Naga -Don Yang
แยกทางหลวงหมายเลข 3454 (กม.ที่ 38+550) - บ้านสีบัวทอง (ช่วงที่ 1),Highway 3454 (km 38+550) - Ban Sika Thong (Part 1)
สงเปือย - โนนตูม,Song Pao - Non Tum
เขามะกา - เขาหินซ้อน,Khao Maka - Khao Hin Son
แพร่ - แยกแม่แขม,Phrae - Mae Khaem Intersection
แยกทางหลวงหมายเลข 35 (กม.ที่ 46+300) - บ้านชายทะเลกาหลง,Highway 35 (km 46+300) - Ban Chang Kalong
สอง - แก่งเสือเต้น,Two - Kaeng Tiger Dance
หนองบ่อ - หนองยอ,Nong Bo - Nong Yo
สูงเนิน - ท่าแร่,Sung Noen -Tha Rae
แม่กา - แยกประตูชัย,Mae Ka - Junction Chai
แยกทางหลวงหมายเลข 33 (กม.ที่ 10+030) - บ้านสุด,Highway 33 (km 10+030) - House
ลำพยนต์ - เกษตรชัย,Lampayon -Kasetchai
โคกสูง -  หนองกุงใหญ่,High Cock - Nong Kung Yai
ห้วยคล้อ - เลิงนกทา,Huai Khlo -Leng Nok Tha
ทางเข้าหันคา - กะบกเตี้ย,The entrance to Hanka -Kapok Tia
ตรัง - บ้านนา,Trang - Ban Na
เขาเพิ่ม - บ้านนา,He added - Ban Na
ทางแยกต่างระดับอยุธยา - อยุธยา,Ayutthaya -Ayutthaya intersection
บางคู  - ตีนเขา,Bang Khu - Mountain
ทางเลี่ยงเมืองนครสวรรค์ด้านตะวันตก,The avoidance of Nakhon Sawan in the west
หนองจิกรี - ถนนสุด,Nong Chikri - Sud Road
หัวทะเล - โชคชัย,Sea Hua - Chokchai
ถ้ำพรรณรา - ทุ่งสง,Phanra - Thung Song
หน้าค่าย ตชด. - พังงอน,In front of the Border Camp - Phang Neng
ต่างระดับรังสิต - วัดนาบุญ,Different levels of Rangsit - Na Bun Temple
แยกทางหลวงหมายเลข 3213 (กม.ที่ 29+000) - แยกทางหลวงชนบท ชน.4009 (กม.ที่ 7+605),Highway intersection number 3213 (km 29+000) - Rural Road Intersection. 4009 (Km. 7+605)
แยกทางหลวงหมายเลข 101 (กม.ที่ 229+325) - บ้านภูเพียง,Highway 101 (Km. 229+325) - Ban Phu Phong
แยกทางหลวงหมายเลข 202 (กม.ที่ 212+895) - บ้านนิคม,Highway intersection number 202 (Km. 212+895) - Ban Nikhom
อยุธยา - นครหลวง,Ayutthaya - Nakhon Luang
หล่มสัก - สักหลง,Lom Sak - Sak Long
คลองแงะ - บาโรย,Khlong Kor -Baroi
บ้านนำเพอะพะ - บ้านต้นผึ้ง,Ban Nam Phepa - Ban Ton Phueng
หินกอง - ปากข้าวสาร,Hin Kong -Pak Khao San
ท่าวังผา - ผาหลัก,Tha Wang Pha -Pha Lak
สุวรรณภูมิ - สาหร่าย,Suvarnabhumi - Seaweed
บ้านนา - บางอ้อ,Ban Na -Bang Or
อ้อมใหญ่ -นครชัยศรี,Om Yai -Nakhon Chai Si
กะทู้ - ป่าตอง,Kathu - Patong
น้ำรอด - พ่อตาหินช้าง,"Water survived - father -in -law, Chang Chang"
ไผ่ต่ำ - หนองแค,Low bamboo - Nong Khae
แยกทางหลวงหมายเลข 12 (กม.ที่ 523+030) - บ้านท่าเรือ,Highway 12 (km 523+030) - Ban Tha Ruea
แยกทางหลวงหมายเลข 9 (กม.ที่ 43+490) - อำเภอไทรน้อย,Highway 9 (km 43+490) - Sai Noi District
บ้านสิ้ว - โพธิ์ทอง,Ban Si - Pho Thong
ต้นพยอม - เหมืองกุง,Phayom -Kung Tree
ปง - ปัวดอย,Pong -Puo Doi
แยกทางหลวงหมายเลข 317 (กม.ที่ 187+600) - อ่างเก็บน้ำเขาสามสิบ,Highway 317 (Km. 187+600) - Khao Sam Sip Reservoir
แขวงรามอินทรา - บางพลี,Ram Inthra - Bang Phli
คลองหวะ - ควนหิน,Khlong Wa - Khuan Hin
หนองสาหร่าย - หนองสองห้อง,Nong Sarai - Nong Song Hong
บ่อทอง - มอจะบก,Bo Thong -Morbok
เขาขาว - ท่าเรือปากบารา,Khao Khao - Pak Bara Pier
บ้านฝาง - ขอนแก่น,Ban Fang - Khon Kaen
ลำชี - ร้อยเอ็ด,Lamchi - Roi Et
แยกทางหลวงหมายเลข 2039 (กม.ที่ 5+100) - บ้านกระนวน,Highway intersection number 2039 (km 5+100) - Ban Kranuan
บ้านหว้า - วังไผ่,Ban Wa - Wang Phai
ทางเลี่ยงเมืองมหาสารคาม,Avoiding Maha Sarakham City
ปากท่อ - ท่าน้ำสมุทรสงคราม,Pak Tho - Samut Songkhram
ยะลา - ตะบิงติงงี,Yala -Tabing Tingni
หินหล่อง - ด่านขุนทด,Stone Long - Dan Khun Thot
ตรัง - เขาพับผ้า,Trang - Khao fold clothes
วังม่วง - แม่เชียงรายบน,Wang Muang - Mae Chiang Rai on
พนมสารคาม - เขาหินซ้อน,Phanom Sarakham - Khao Hin Son
สวนสมบูรณ์ - เกาะมุกข์,Suan Somboon - Koh Muk
หนองผ้าอ้อม - กุฉินารายณ์,Nong Rai Om - Kuchinara
นาหม่อม - จะนะ,Na Mom - Chana
แยกทางหลวงหมายเลข 1251 (กม.ที่ 12+000) - บ้านป่าซาง,Highway 1251 (Km. 12+000) - Ban Pa Sang
ลาดหญ้า - ทุ่งมะสังข์,Lat Ya - Thung Masang
บ้านสวน - เขื่องใน,Baan Suan - Kuen Nai
วังหิน - หนองนางดำ,Wang Hin - Nong Nang Dam
แยกทางหลวงหมายเลข 4137 (กม.ที่19+700) - บ้านปากคอก,Highway intersection number 4137 (km 19+700) - Ban Pak Khok
แยกทางหลวงหมายเลข 210 (กม.ที่ 72+050) - บ้านกุดกระสู้,Highway 210 (km 72+050) - Ban Kut Krasu
ยุโป - ท่าสาป,Yupo -Tha Curs
โคกมน - กกกะทอน,Khok Mon -Kae Ton
บ้านดุง - หนองกา,Ban Dung - Nong Ka
ไพศาล - บรบือ,Phaisan -Borbue
น้ำฆ้อง - ศรีธาตุ,Gong -Si That
อู่ทอง - สระกระโจม,U Thong - Pool
กอตอ - ปูต๊ะ,Got -crab
ปารามีแต - โกตาบารู,Parami Tae -Kota Baru
หนองหาน - บ้านยา,Nong Han - Ban Ya
หนองรี - หนองขาม,Nong Ri - Nong Kham
บ้านด่าน - ซำหวาย,Ban Dan -Sam Wai
โคกแดง - หินกอง,Khok Daeng - Hin Kong
นครสวรรค์ - โกรกพระ,Nakhon Sawan - Krok Phra
ทุ่งสง - กะปาง,Thung Song - Kapang
ทางเข้าท่าอากาศยานร้อยเอ็ด,Roi Et Airport entrance
ห้วยน้ำขาว - เกาะกลาง,Huai Nam Khao - Ko Klang
แจ้งวัฒนะ-พญาไท,Chaeng Watthana-Phaya Thai
แก้งคร้อ - สระพัง,Kaeng Krok - Pool
คลองบางไผ่ - คลองบางหลวง,Khlong Bang Phai - Khlong Bang Luang
คำพอก - มุกดาหาร,Kham Phok -Mukdahan
ควนขนุน - ทะเลน้อย,Kuan Khanun - Thale Noi
กุดเตย - โคคลาน,Kud Toey -Copa crawl
ตรัง - สิเกา,Trang - Sikao
ควนรา - หัวเตย,Kuanra - Hua Toei
ปัว - ปางหก,Pua -Pang Six
ช่องชาลี - ท่าโรงช้าง,Channel Charlie - Tha Rong Chang
ทุ่งสง - ร่อนพิบูลย์,Thung Song - Ron Phibun
ทางต่างระดับหนองขาม - ท่าเรือแหลมฉบัง,Different levels of Nong Kham - Laem Chabang Port
ท้ายเหมือง - คลองบางดินสอ,Tai Mueang - Khlong Bang Peninsula
นาเหนือ - คำพอก,Nuea Nuea
นิคมคำสร้อย - หนองสูง,Kham Soi Nikom - Nong Sung
ทางเลี่ยงเมืองชลบุรี,Avoiding the city of Chon Buri
โพนางดำออก - ท่าฉนวน,Po Nang Dam -Tha
แยกจิรประวัติ - พระนอน,Jiraprai intersection - Phra Non
ปางมะโอ - ป่าขาม,Pang Ma O - Pa Kham
แยกเข้ามีนบุรี - คลองหลวงแพ่ง,Separated into Min Buri - Khlong Luang Civil
เขาแหลม - สระแก้ว,Khao Laem - Sa Kaeo
ปลักประดู่ - ด่านช้าง,Plak Pradu -Dan Chang
หนองเสือ - ท่าน้ำตื้น,Nong Suea - shallow pier
วังครก - เสียบญวณ,Wang Krok -Suek
สะพานข้ามแม่น้ำท่าจีนฝั่งตะวันตก - นาโคก,Bridge over the Tha Chin River on the west side - Nokok
กลางสะพานมิตรภาพที่แม่สอด(เขตแดน ไทย / พม่า) - แม่ละเมา,In the middle of the Friendship Bridge at Mae Sot (Thai / Burma) - Mae Lamalo
หนองเต่า - คลองพลังด้านใต้,Nong Tao - South Power Canal
บางเมือง - บางพลี,Some cities - Bang Phli
สมุทรสาคร - บางบอน,Samut Sakhon - Bang Bon
ทุ่งมหาชัย-ระหาน,Thung Mahachai-Rahan
แยกทางหลวงหมายเลข 33 (กม.ที่ 247+000) - บ้านโคกข้าวเหนียว,Highway 33 (Km. 247+000) - Ban Khok Lee
บ้านแยง - น้ำเทิน,Ban Ying - Nam Tho
บ้านบ่อ - พระประโทน,Baan Bo - Phra Prathon
ถนนวงแหวนรอบเมืองอุบลราชธานี,Ring Road around Ubon Ratchathani
ปากท่อ - สระพัง,Pak Tua - Pool
พ่อตาหินช้าง - วังครก,Father Ta Hin Chang - Wang Krok
แยกทางหลวงหมายเลข 108 (กม.ที่ 34+500) - บ้านร้อยจันทร์,Highway 108 (km 34+500) - Ban Roi Chan
เตาปูน - ท่าสาป,Tao Poon - Tha Curs
การุ้ง - อุทัยธานี,Karn -Uthai Thani
หนองเม็ก - บ้านดุง,Nong Mek - Ban Dung
แยกทางหลวงหมายเลข 33 (กม.ที่ 214+500) - บ้านโปร่งใหญ่,Highway 33 (km at 214+500) - Ban Anta Yai
